store_name,year,month,coverage_rate_pct,vs_usage_rate_pct,comparisons_total,vs_conversion_rate_pct,purchase_compare_total,vs_compare_share_pct,vs_recommend_share_pct,total_vs_share_pct,conversion_rate_uplift_pct,vs_user_aov,non_vs_user_aov,all_conversion_rate,pv_total,pv_vs_total,clicks_total,reco_total,purchase_all_total,purchase_recommend_total,pv_uu,pv_vs_uu,clicks_uu,comparisons_uu,reco_uu,purchase_all_uu,purchase_compare_uu,purchase_recommend_uu,month_start,month_end,month_label
edwin,2024,8,78.73,3.24,27767,4.75,1320,20.22,17.63,37.85,905.32,11571.26715,11755.82813,0.599050769,1089724,857954,29096,193226,6528,1151,341752,227764,14562,12869,22202,3875,1024,736,8,8,Aug
edwin,2024,9,80.98,3.32,35186,4.96,1746,21.6,18.02,39.62,976.79,11243.18564,11257.52028,0.618014645,1307736,1058956,35805,247015,8082,1456,403293,273223,18837,16391,25941,4807,1351,940,9,9,Sep
edwin,2024,10,80.53,2.87,35524,3.81,1354,21.51,15.42,36.93,1087.18,14533.18172,14197.7643,0.409975662,1535457,1236549,36911,240978,6295,971,504878,356521,19509,16986,27109,4077,1100,699,10,10,Oct
edwin,2024,11,80.78,3.44,56380,3.98,2245,21.45,17.17,38.62,915.12,14115.12681,13607.4645,0.516248636,2027124,1637440,56149,357450,10465,1797,614783,408010,28305,24940,37575,7007,1775,1282,11,11,Nov
edwin,2024,12,84.16,3.53,55840,4.14,2309,23.18,24.62,47.8,1159.39,13412.98948,13373.70537,0.529371848,1881853,1583742,55194,392515,9962,2453,514015,384905,27982,25152,39428,6683,1957,1756,12,12,Dec
edwin,2025,1,83.14,4.95,1058,11.91,126,19.91,42.5,62.4,970.53,15648.21918,12911.61905,2.459972019,25732,21394,802,8528,633,269,6751,5422,430,401,1520,448,103,184,1,1,Jan
barneys_japan,2025,2,62.61,3.78,6393,2.06,132,8.31,6.74,15.05,158.84,29569.06878,19753.27513,0.58794128,270095,169113,4180,23999,1588,107,83402,44894,2488,2330,4266,871,103,80,2,2,Feb
barneys_japan,2025,3,66.52,3.09,9188,3.31,304,11.25,8.25,19.5,352.22,36567.4026,21697.91336,0.604596004,446910,297274,6496,38646,2702,223,152255,82766,3645,3392,5814,1650,237,138,3,3,Mar
barneys_japan,2025,4,66.03,3.3,13739,2.98,410,10.78,11.78,22.56,321.36,28721.06167,19939.96708,0.603821984,629987,415962,9856,67071,3804,448,182761,99694,5282,4880,8107,2244,330,266,4,4,Apr
barneys_japan,2025,5,40.93,3.28,14365,3,431,10.62,10.3,20.92,309.46,25682.01303,20417.32437,0.37925978,1069979,437939,10371,69969,4058,418,575210,109331,5705,5326,8798,2527,334,278,5,5,May
barneys_japan,2025,6,67.56,2.91,13087,3.98,521,10.73,12.46,23.19,380.13,29524.87531,21710.64455,0.729307623,665837,449856,9831,75631,4856,605,228449,111641,5377,4969,8529,2778,411,368,6,6,Jun
barneys_japan,2025,Feb-Jun,57.42,3.21,56772,3.17,1798,10.57,10.59,21.16,318.09,29477.59411,20807.69164,0.551704809,3082808,1770144,40734,275316,17008,1801,1146812,386240,20354,18830,22084,9229,1359,973,2,6,Feb–Jun
barneys_japan,2024,Feb-Jun,64.76,4.98,151485,2.44,3695,11.03,7.69,18.73,172.34,33774.52155,23848.82786,0.713655922,4693158,3039309,106009,435647,33493,2577,1343567,641588,53542,49696,34339,16879,2885,1409,2,6,Feb–Jun
ralph_lauren,2025,1,77.79,3.11,127181,2.35,2995,17.13,15.25,32.38,714.83,37258.52362,24579.79304,0.332476008,5257823,4089892,127175,836949,17481,2666,1153480,618787,53360,47623,60812,9604,2298,1306,1,1,Jan
ralph_lauren,2025,2,65.45,3.22,69461,2.03,1411,16.93,11.22,28.15,632.21,34825.57951,25497.73984,0.252741163,3297049,2158044,67546,423449,8333,935,953167,406365,32564,29396,40652,5501,1187,632,2,2,Feb
